song_title,artist_name,release_month,release_year,artist_pop,track_pop,duration_s,explicit
Feels Like Summer,Childish Gambino,7,2018,79,66,297.404,FALSE
Blackbird - Remastered 2009,The Beatles,11,1968,84,75,138.386,FALSE
Red Flags,Tinashe,8,2024,71,44,129.254,FALSE
FAMJAM4000,Jordan Ward,3,2023,60,65,158.133,FALSE
Rock Ur World,Knock2,1,2023,62,55,281.066,FALSE
Waterfalls,TLC,11,1994,69,72,279.506,FALSE
Congo (Tunnel Mix),The Boss,1,1994,39,10,375.04,FALSE
ياوطني يا بلد أحبابي,عمر الأمين,1,2020,25,28,157.544,FALSE
leavemealone,Fred again..,12,2023,77,68,222.784,TRUE
APT.,ROSÉ,10,2024,88,96,169.917,FALSE
What I Want,Nate Good,10,2020,47,7,149.384,TRUE
Fantasy (feat. Don Toliver),Kali Uchis,3,2023,84,65,178.274,FALSE
Static,Steve Lacy,7,2022,80,72,156.506,TRUE
3,Snakey Swag,1,2021,0,0,57.026,FALSE
O.D.,Polyphia,10,2018,60,47,202.163,FALSE
Locked out of Heaven,Bruno Mars,12,2012,94,89,233.478,FALSE
Tomorrow,Shakey Graves,9,2016,59,65,240.586,FALSE
Camelia,Mili,2,2018,61,21,281.954,FALSE
Uptight (Everything's Alright),Stevie Wonder,5,1966,77,55,174.4,FALSE
KEHLANI,Jordan Adetunji,6,2024,69,83,122.36,FALSE
Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],Daft Punk,5,2023,81,51,239.213,FALSE
Evergreen,Ryan Beatty,1,2020,50,40,224.347,FALSE
Purple Rain,Prince,6,1984,70,72,521.866,FALSE
odoriko,Vaundy,11,2021,73,49,230.109,FALSE
Our dawn is hotter than day,SEVENTEEN,7,2018,79,60,212.309,FALSE
I Gotta Find Peace of Mind - Live,Ms. Lauryn Hill,5,2002,72,56,558.973,FALSE
Silver Lining,Mt. Joy,3,2018,69,75,199.827,FALSE
Through The Wire,Kanye West,2,2004,91,73,221.226,TRUE
Red Red Wine,UB40,6,2000,68,70,183.733,FALSE
Love Story (Taylor’s Version),Taylor Swift,2,2021,97,75,235.766,FALSE
NISSAN ALTIMA,Doechii,8,2024,80,79,126.832,TRUE
Rats,Ghost,6,2018,72,54,261.573,FALSE
The Way You Make Me Feel,Michael Jackson,6,1979,83,41,296.906,FALSE
A Dream of You and Me,Future Islands,3,2014,59,53,239.306,FALSE
LOVE AGAIN,Daniel Caesar,6,2019,84,63,214.277,FALSE
Brain Stew,Green Day,10,1995,80,74,193,TRUE
The Sound Of Silence,Simon & Garfunkel,9,2017,72,18,184.878,FALSE
Say What,Rampa,10,2024,67,74,181.593,FALSE
Who's Lovin' You,The Jackson 5,12,1969,70,58,235.64,FALSE
Mind Over Matter,Young the Giant,1,2014,65,69,244.693,FALSE
nightfall (Full Ver),ginkiha,12,2015,25,12,263.174,FALSE
Boyish,Japanese Breakfast,7,2017,59,53,213.986,FALSE
Dawns (feat. Maggie Rogers),Zach Bryan,1,2023,87,75,290.892,TRUE
A Seagull & Clouds,菊池ひみこ,10,1987,38,39,295.333,FALSE
Silver Lining,Mt. Joy,3,2018,69,75,199.827,FALSE
Aquamarine / Arcamarine,Addison Rae,11,2024,71,58,194.18,FALSE
Thandaza,&ME,3,2024,66,52,361.81,FALSE
Soft Spot - Acoustic,keshi,10,2024,75,56,208.039,FALSE
16,Baby Keem,9,2021,76,45,156.04,TRUE
APT.,ROSÉ,10,2024,88,96,169.917,FALSE
Iraaday,Rovalio,3,2022,59,64,133.305,FALSE
Missed Calls,Mac Miller,11,2011,84,68,178.902,TRUE
That’s So True,Gracie Abrams,10,2024,88,96,166.3,TRUE
The Other Side Of Paradise,Glass Animals,8,2016,75,67,320.654,TRUE
Move (feat. Camila Cabello & Malachiii),Adam Port,10,2024,74,78,180.236,FALSE
Heavy,The Marías,6,2021,80,79,253.213,FALSE
Yessirskiii,Lil Uzi Vert,3,2020,84,63,219.34,TRUE
Sunny,Boney M.,5,1976,73,66,242.24,FALSE
STAY (with Justin Bieber),The Kid LAROI,7,2021,82,78,141.805,TRUE
Pines,Men I Trust,9,2019,69,53,222.089,FALSE
I Know The End,Phoebe Bridgers,6,2020,78,72,344.692,FALSE
White Ferrari,Frank Ocean,8,2016,87,84,248.807,FALSE
Your Love,The Outfield,6,1985,67,73,221.84,FALSE
Let Down,Radiohead,5,1997,83,73,299.56,FALSE
All My Love,Noah Kahan,10,2022,84,77,251.51,FALSE
